RowID,Need,Hidden sort,Category,Type,Item,Link,NewLink,UniqueID,LinkMessage
145,Something is Broken,19,Storage | Collaboration | Communication,External Facing Sharing,Not reachable,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI128,
146,Something is Broken,19,Storage | Collaboration | Communication,Shared Email,Change Name,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI127,
147,Something is Broken,19,Storage | Collaboration | Communication,Sharepoint,Can't reach site,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI125,
148,Something is Broken,19,Storage | Collaboration | Communication,Team Drives (FSx),Not reachable,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI129,
149,Something is Broken,19,Storage | Collaboration | Communication,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI130,
150,Something is Broken,20,Network | Connectivity,Firewall,Can't reach site,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI134,
151,Something is Broken,20,Network | Connectivity,Firewall,Taskbar app shows error,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI135,
152,Something is Broken,20,Network | Connectivity,Passwords,Locked,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI137,
153,Something is Broken,20,Network | Connectivity,Passwords,Reset,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI136,
154,Something is Broken,20,Network | Connectivity,WiFi,CORP down,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI131,
155,Something is Broken,20,Network | Connectivity,WiFi,Guest down,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI132,
156,Something is Broken,20,Network | Connectivity,Wired network,Wired network down,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI133,
157,Something is Broken,20,Network | Connectivity,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI138,
158,Something is Broken,21,Conference Rooms,AV gear,Broken,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI139,
159,Something is Broken,21,Conference Rooms,Furniture,Broken,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI139,
160,Something is Broken,21,Conference Rooms,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI140,
161,Something is Broken,22,People,Benefits,General question about coverage,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI146,
162,Something is Broken,22,People,Manager Changes,Change of title,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI141,
163,Something is Broken,22,People,Manager Changes,Employee  travel request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI144,
164,Something is Broken,22,People,Manager Changes,Employee Exit process,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI143,
165,Something is Broken,22,People,Manager Changes,Employee relocation question,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI145,
166,Something is Broken,22,People,Manager Changes,Salary Adjustment,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI142,
167,Something is Broken,22,People,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI147,
168,Something is Broken,23,Facilities,Furniture,Broken,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI148,
169,Something is Broken,23,Facilities,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI149,
170,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,AlertMedia,Paging issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI156,
171,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,Change Management,Schedule not reflecting change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI153,
172,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,DataDog,Monitoring Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI157,
173,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,JSM Service,Ticket Routing Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI150,
174,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,OpsGenie,On-call schedule wrong,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI155,
175,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,OpsGenie,Paging issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI154,
176,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,Can't find record,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI151,
177,Something is Broken,24,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,Data needs updating,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI151,
